Sample Name,COSMIC identifier
FU-OV-1,1240129
IGROV-1,905968
JHOS-2,1479995
JHOS-3,1480358
JHOS-4,1480359
KGN,924186
KURAMOCHI,909975
OAW-28,946360
OAW-42,910548
OC-314,909257
OV-17R,1480361
OV-56,1480362
OV-7,1480360
OV-90,1240197
OVCA420,1480364
OVCAR-3,905933
OVCAR-4,905990
OVCAR-5,905969
OVCAR-8,905991
OVISE,1240198
OVK-18,1480371
OVKATE,1240199
OVMIU,1240200
OVTOKO,1298365
PA-1,909255
PEO1,1480372
RKN,1298539
RMG-I,909699
SK-OV-3,905959
SW626,909753
TOV-112D,1299070
TOV-21G,1240222
TYK-nu,909774
UWB1.289,1480374
22RV1,924100
BPH-1,924105
DU-145,905935
LNCaP-Clone-FGC,907788
PC-3,905934
PWR-1E,1330993
VCaP,1299075
NCCIT,908441
NEC8,910942
NTERA-2 cl.D1,908454
JAR,907175
JEG-3,907176
SW954,924247
SW962,909758
MES-SA,908127
SKN,1240215
DMS-79,753551
CMK,910566
NB-4,1323913
MHH-CALL-4,908133
BC-3,910918
HT,907063
JM1,1327768
BONNA-12,906695
ES6,949157
MHH-ES-1,908134
DIFI,1789883
NCI-H508,908442
SNU-283,1659929
SW620,905962
JHH-2,1240157
JHH-4,1240158
RCC-JF,1524415
SW156,1240220
HOP-62,905972
NCI-H1437,687794
PC-3 [JPC-3],1240202
NCI-H740,1331055
COR-L95,1297439
HCC-33,1303901
NCI-H128,753597
NCI-H1304,753599
NCI-H2081,908480
NCI-H2171,688015
SHP-77,724872
SW1271,1299062
D-423MG,946372
KP-N-RT-BM-1,924189
KP-N-YS,946363
MC-IXC,908118
COLO-783,1240125
CP67-MEL,949092
Hs633T,1240149
KMH-2,1298167
OMC-1,949154
RL95-2,930082
Caov-3,906825
DOV13,1479987
Hey,1479988
NCI-H660,1330975
JHU-029,1298156
SCC90,1299052
MOLM-16,1330948
OCI-LY7,1659819
KMS-11,1659817
CHSA0011,1290767
CHSA0108,1290768
JIMT-1,1298157
CL-34,1290771
VMRC-LCD,713869
K2,1298160
STS-0421,1299061
MY-M12,1330960
TALL-1,909762
NK-92MI,1330981
MDA-MB-175-VII,908120
YMB-1-E,1303911
VMRC-RCW,1240224
NCI-H460,905943
RERF-LC-FM,930081
D-245MG,946366
Hs939-T,1298144
VMRC-MELG,930301
OVCA433,1480367
TMK-1,1299069
KP-2,1298218
KO52,1330932
SC-1,1331030
U-CH2,1503373
TOTAL:,
